impl,kernel,B,T,D,N,mean_ms,median_ms,p95_ms,std_ms,min_ms,max_ms
B4_fused,phase2_fused,1,16,1024,,0.19480535993352532,0.18350000027567148,0.22287500905804336,0.05303925977883107,0.16925000818446279,0.6914580008015037
B1_naive,depth_attention_naive,1,16,2048,4,0.21515332075068727,0.21077101700939238,0.24620798649266362,0.014244565001937715,0.1917080080602318,0.2505419834051281
B3_two_phase,phase1_interblock,1,16,2048,4,0.26580786099657416,0.25556248147040606,0.2869170275516808,0.05643382338568125,0.21399999968707561,0.7873750000726432
B1_naive,depth_attention_naive,1,16,2048,8,0.2329816995188594,0.22825000633019954,0.26704100309871137,0.016616432237127023,0.20887498976662755,0.29024999821558595
B3_two_phase,phase1_interblock,1,16,2048,8,0.32614537136396393,0.3091455000685528,0.3462500171735883,0.11452274582840939,0.291750009637326,1.4330829726532102
B1_naive,depth_attention_naive,1,16,2048,16,0.2634499195846729,0.25810449733398855,0.2993749803863466,0.017874631467810414,0.24024999584071338,0.31508298707194626
B3_two_phase,phase1_interblock,1,16,2048,16,0.43159919063327834,0.4180619871476665,0.46999999904073775,0.07539675542483884,0.3885839832946658,1.1218330182600766
B3_two_phase,phase2_ref,1,16,2048,,0.20277330128010362,0.20308350212872028,0.22045799414627254,0.01116525858720382,0.18191698472946882,0.2490839979145676
B4_fused,phase2_fused,1,16,2048,,0.18968322867294773,0.18412500503472984,0.2181659801863134,0.015827789398434603,0.16850000247359276,0.22737501421943307
B1_naive,depth_attention_naive,1,128,512,4,0.23268080956768245,0.22885399812366813,0.25883401394821703,0.016042747147841777,0.2049999893642962,0.26416598120704293
B3_two_phase,phase1_interblock,1,128,512,4,0.3124591911910102,0.3037709975615144,0.33995899138972163,0.06262732603564147,0.27158300508745015,0.903083011507988
B1_naive,depth_attention_naive,1,128,512,8,0.2625471193459816,0.2549585042288527,0.2980410063173622,0.01833300880643375,0.24041699361987412,0.3302919794805348
B3_two_phase,phase1_interblock,1,128,512,8,0.43720706977183,0.42654199933167547,0.48058299580588937,0.05063897538892438,0.39812500472180545,0.875166995683685
B1_naive,depth_attention_naive,1,128,512,16,0.32235580176347867,0.31579198548570275,0.35183399450033903,0.02703259290641563,0.27483300073072314,0.5257909942883998
B3_two_phase,phase1_interblock,1,128,512,16,0.7103891775477678,0.702000004821457,0.7699170091655105,0.06935168763505951,0.6156250019557774,1.276666997000575
B3_two_phase,phase2_ref,1,128,512,,0.20454877929296345,0.20133350335527211,0.2296250022482127,0.011846244879260783,0.18545801867730916,0.23966599837876856
B4_fused,phase2_fused,1,128,512,,0.20422372064786032,0.19529148994479328,0.22524999803863466,0.061093463677546374,0.17183300224132836,0.791291007772088
B1_naive,depth_attention_naive,1,128,1024,4,0.2547873809817247,0.25239599926862866,0.28587502310983837,0.016216456258273892,0.23087498266249895,0.30258300830610096
B3_two_phase,phase1_interblock,1,128,1024,4,0.42775163892656565,0.41733299440238625,0.45900000259280205,0.06796828410246482,0.3940419992431998,1.0661249980330467
B1_naive,depth_attention_naive,1,128,1024,8,0.3106482687871903,0.30693750886712223,0.3440830041654408,0.01612963400831465,0.2874160127248615,0.3747910086531192
B3_two_phase,phase1_interblock,1,128,1024,8,0.7207359894528054,0.7183544948929921,0.7609579770360142,0.07720394524465529,0.6324580172076821,1.4128749899100512
B1_naive,depth_attention_naive,1,128,1024,16,0.4411000187974423,0.4287290066713467,0.4912499862257391,0.02867520243614967,0.4102909879293293,0.5524589796550572
B3_two_phase,phase1_interblock,1,128,1024,16,1.1907546897418797,1.173520999145694,1.232040987815708,0.07984002664516966,1.112666999688372,1.920209004310891
B3_two_phase,phase2_ref,1,128,1024,,0.2447990604559891,0.24583299818914384,0.26120900292880833,0.014851790146669602,0.2133329981006682,0.3206669935025275
